96;272;22057;4
448;128;23085;0
360;212;23428;0
300;108;24457;0
432;192;26171;0
332;172;26857;0
188;216;27543;0
104;188;28228;0
16;300;28743;0
4;224;28914;0
120;56;29428;0
312;92;29943;0
188;220;31657;0
256;368;32343;0
324;220;33028;0
452;340;33714;0
432;192;34057;0
384;108;34400;0
188;64;34914;0
260;40;35085;2
184;204;35428;0
304;340;35771;0
212;352;36457;0
304;228;37143;0
388;328;38857;0
388;328;39028;0
400;228;39543;0
424;156;40743;0
352;172;40914;0
220;104;41257;0
292;280;41943;0
168;228;42628;0
344;156;43314;0
256;192;44000;4
440;292;44514;0
440;292;44685;0
436;76;45200;0
208;56;45714;0
124;44;45885;0
72;112;46057;0
220;204;46571;0
304;216;46743;0
368;164;46914;0
288;132;47428;0
64;184;47943;0
136;288;48457;0
216;260;48628;0
256;336;49143;0
392;320;49657;0
476;328;49828;0
504;248;50000;0
484;168;50171;0
268;108;50514;0
348;72;50857;2
180;40;51200;0
232;204;51543;2
180;40;51885;0
324;164;52228;2
248;120;52400;0
320;76;52571;0
248;120;52743;0
168;52;53257;0
212;284;53771;0
300;284;53943;0
357;221;54114;0
428;72;54628;0
192;356;55314;0
116;316;55485;0
88;236;55657;0
240;56;56171;0
220;152;57028;0
308;304;57371;0
396;152;57714;0
484;304;58057;0
460;68;58400;0
288;96;58914;0
204;76;59771;0
0;116;60114;0
64;224;60457;2
48;308;60628;0
152;364;60800;2
136;280;60971;0
236;220;61143;2
220;304;61314;0
320;360;61485;2
304;276;61656;0
361;214;61828;0
150;169;62171;0
278;86;62514;0
233;297;62857;0
279;87;63200;2
253;63;63285;0
221;49;63371;2
187;46;63457;0
153;51;63543;0
110;147;63885;2
104;180;63971;0
91;211;64057;2
71;239;64143;0
45;261;64228;0
134;296;64571;2
164;311;64657;0
196;320;64743;2
230;324;64828;0
264;322;64914;2
297;313;65000;0
328;299;65085;2
356;280;65171;0
380;256;65257;2
400;229;65343;0
414;198;65428;2
423;165;65514;0
426;131;65600;12
276;36;65948;0
60;80;66462;0
176;308;66976;0
244;232;67148;0
280;324;67319;0
392;201;67833;0
420;120;68348;0
344;68;68519;0
280;132;68690;0
136;128;69033;8
44;144;69205;0
256;248;69719;2
280;244;69805;0
304;244;69890;2
328;252;69976;0
348;264;70062;0
244;160;70405;0
320;132;70576;0
264;80;71090;0
84;296;71433;0
176;280;71776;8
268;304;71948;0
292;212;72462;0
204;148;72719;0
184;132;72805;0
104;68;72976;0
60;216;73148;8
184;132;73319;0
404;192;73833;0
420;216;73919;0
428;244;74005;0
428;272;74090;0
420;300;74176;0
300;332;74519;0
64;236;74862;0
300;212;75205;0
320;96;76062;0
216;40;76919;0
116;40;77433;0
204;300;77948;0
276;212;78119;0
324;312;78290;0
472;152;78805;0
440;56;79319;0
412;44;79405;0
384;40;79490;0
356;44;79576;0
328;52;79662;0
168;76;80005;0
92;284;80348;0
28;144;80519;8
180;156;80690;0
264;220;80948;0
268;248;81033;8
240;344;81205;0
356;176;81376;0
92;284;81548;0
60;124;81890;0
328;72;82233;0
252;140;82576;0
328;208;82748;8
428;224;82919;0
360;300;83433;2
332;316;83519;0
304;328;83605;2
276;332;83690;0
248;332;83776;0
152;204;84119;8
244;160;84290;0
16;116;84805;0
44;108;84890;0
72;101;84976;0
100;94;85062;0
129;87;85148;0
280;16;85490;0
444;48;85833;0
400;140;86005;8
352;232;86176;0
304;320;86348;0
392;352;86519;8
192;240;86690;0
420;264;86862;0
220;152;87033;0
280;216;87548;0
264;48;87890;0
392;328;88405;0
256;208;88919;2
220;212;89005;0
184;228;89090;2
160;256;89176;0
148;292;89262;0
36;248;89605;0
36;68;89948;0
204;52;90290;0
332;136;90462;0
392;32;90633;0
440;180;90976;8
356;236;91148;0
400;328;91662;0
356;236;91833;0
452;240;92005;0
328;40;92348;0
420;92;92690;0
227;155;92862;0
421;214;93033;0
300;55;93205;0
302;254;93376;0
148;104;93890;0
96;312;94405;2
67;280;94490;0
54;240;94576;2
57;198;94662;0
76;160;94748;0
287;12;95090;0
435;223;95433;0
224;371;95776;0
156;276;96033;0
124;252;96119;0
264;64;96633;0
244;300;97148;0
188;212;97319;0
288;212;97490;0
188;212;97833;0
240;124;98005;0
52;284;98519;0
104;112;98862;0
292;240;99376;0
420;156;99548;0
292;240;99719;8
424;316;99890;0
292;240;100062;0
420;156;100233;0
296;111;100748;0
380;240;100919;0
296;111;101262;0
372;28;101519;0
408;20;101605;0
424;140;101776;0
344;228;101948;8
228;260;102119;0
60;104;102633;2
96;116;102719;0
132;116;102805;2
168;104;102890;0
196;80;102976;0
472;144;103319;0
196;216;103662;0
472;280;104005;0
484;188;104348;0
360;164;104862;0
104;136;105376;2
116;170;105462;0
128;205;105548;2
140;240;105633;0
153;275;105719;0
359;109;106062;0
339;295;106405;0
92;116;106748;0
208;76;107005;0
244;64;107090;0
428;48;107433;8
400;156;107605;0
156;132;108119;2
128;164;108205;0
112;204;108290;2
112;248;108376;0
128;288;108462;8
328;208;108633;0
192;364;108805;0
264;132;108976;0
0;228;109490;0
208;228;109800;0
264;324;110314;0
428;46;110828;8
442;66;110914;0
445;90;111000;0
436;113;111085;0
416;128;111171;0
140;20;111685;0
116;148;111857;0
68;372;112200;0
240;320;112542;0
336;136;113057;0
336;136;113142;0
336;136;113228;0
480;100;113571;0
260;212;113914;0
232;112;114428;0
116;368;114942;0
16;116;115285;0
308;196;115800;0
316;320;116314;8
280;340;116400;0
240;348;116485;0
200;344;116571;0
164;332;116657;0
116;100;117000;0
348;52;117342;0
396;284;117685;0
212;268;118028;0
24;76;118542;0
320;164;119057;0
392;144;119400;0
340;92;119742;0
356;16;120000;0
36;80;120428;0
256;288;120942;0
256;288;121028;0
256;288;121114;8
144;224;121285;0
284;108;121800;0
488;32;122142;0
348;64;122314;0
444;168;122485;8
348;64;122657;0
308;44;122742;0
264;40;122828;0
112;224;123171;0
8;152;123514;0
156;284;124028;0
512;208;124542;0
372;72;125057;0
412;92;125142;0
436;132;125228;8
332;196;125400;0
232;120;125571;0
0;120;125914;0
240;280;126257;0
272;356;126771;0
232;28;127285;0
428;156;127628;0
312;44;127800;0
272;200;127971;8
428;156;128142;0
428;156;128228;0
428;156;128314;0
272;200;128657;0
388;248;129000;0
312;60;129514;0
124;136;130028;0
200;324;130542;0
388;248;131057;0
124;136;131400;2
